term_id	term	meeting	date	time	type	mp_id	moderator	fullname	firstname	lastname	title	party	party_short	dob	gender	nationality	residence	district	email	personal_web	mp_web	difterm	transcript_link	speech	lem	agenda
1	1	1	19941103			146	1	Weiss, Peter	Peter	Weiss	PhDr., CSc.	Spoločná voľba - Strana demokratickej ľavice, Sociálnodemokratická strana Slovenska, Strana zelených na Slovensku, Hnutie poľnohospodárov Slovenskej republiky	SV	19520707	0	slovenská	Bratislava	Bratislavský	weispete@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=146&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Vážené dámy, vážení páni, prichádza pán prezident s pánom predsedom Národnej rady. /Slovenská štátna hymna./	Vážený dámy, vážený pán, prichádzať pán prezident s pán predseda národný rad. /Slovenský štátny hymna ./	-
3	1	1	19941103			45	1	Gašparovič, Ivan	Ivan	Gašparovič	doc. JUDr., CSc.	Koalícia Hnutie za demokratické Slovensko a Roľnícka strana Slovenska	HZDS-RSS	19410327	0	slovenská	Bratislava	Bratislavský	NA	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=45&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Vážené panie poslankyne, vážení páni poslanci, pýtam sa, či všetci prítomní poslanci zložili ústavou predpísaný sľub. /Všetci prítomní poslanci zložili ústavou predpísaný sľub./ Konštatujem, že prítomní poslanci Národnej rady Slovenskej republiky zložili ústavou predpísaný sľub. Vážené panie poslankyne, vážení páni poslanci, vo voľbách do Národnej rady Slovenskej republiky konaných 30. septembra a 1. októbra 1994 zo 150 poslancov Národnej rady boli zvolení aj 14 poslanci, ktorí sú členmi vlády Slovenskej republiky. Do tejto funkcie boli vymenovaní prezidentom Slovenskej republiky 16. marca 1994. Konštatovanie, že 14 poslanci, vyplýva z toho, že podpredseda vlády pán Ivan Šimko abdikoval zo svojej funkcie a túto abdikáciu pán prezident Slovenskej republiky prijal. Podľa článku 77 ods. 2 Ústavy Slovenskej republiky, ak bol poslanec vymenovaný za člena vlády Slovenskej republiky, jeho mandát poslanca počas výkonu funkcie člena vlády nezaniká, iba sa neuplatňuje. Chcem pripomenúť, že podľa článku 117 Ústavy Slovenskej republiky vláda podá demisiu vždy po ustanovujúcej schôdzi novozvolenej Národnej rady, pričom vykonáva svoju funkciu až do utvorenia novej vlády. Vzhľadom na ustanovenie článku 77 Ústavy Slovenskej republiky, podľa ktorého mandát poslanca vymenovaného za člena vlády Slovenskej republiky nezaniká, iba sa neuplatňuje, chcem oznámiť, že miesto týchto poslancov majú byť prizvaní náhradníci. Vzhľadom na to, že z poslancov - členov vlády len jeden pán poslanec abdikoval z funkcie člena vlády, je mojou povinnosťou podľa zákona prijať toto spočívanie a pozvať náhradníkov za ich mandáty. Rozhodol som sa na dnešnú schôdzu pozvať náhradníkov, ktorí boli určení volebnou komisiou a ktorým predseda Národnej rady odovzdáva osvedčenie, pozvať na túto schôdzu, aj keď podľa § 48 ods. 6 volebného zákona sa hovorí, že predseda Národnej rady pozýva náhradníkov za tých ministrov, ktorých mandát spočíva, po dni zloženia sľubu. Až po dni zloženia sľubu týmto poslancom začína výkon spočívať, teda nie mandát. Mandát získajú voľbami, ale spočívanie výkonu je až momentom zloženia sľubu. Napriek tomu, že zákon hovorí, že odo dňa po tomto zložení sľubu do 15 dní predseda Národnej rady povolá náhradníkov, rozhodol som sa považovať túto lehotu za poriadkovú a pozvať týchto náhradníkov na dnešnú schôdzu. Prosím preto Kanceláriu Národnej rady, aby vybavila administratívu prijímania náhradníkov a do tej doby vyhlasujem 20-minútovú prestávku. /Potlesk./ /Po prestávke./	Vážený panie poslankynúť, vážený pán poslanec, pýtať sa, či všetok prítomný poslanec zložiť ústav predpísaný sľub. /Všetok prítomný poslanec zložiť ústav predpísaný sľub./ Konštatovať, že prítomný poslanec národný rada slovenský republika zložiť ústav predpísaný sľub. Vážený panie poslankynúť, vážený pán poslanec, v voľba do národný rad slovenský republika konaný 30. september a 1. október 1994 s 150 poslanec národný rad byť zvolený aj 14 poslanec, ktorý byť člen vláda slovenský republika. do táto funkcia byť vymenovaný prezident slovenský republika 16. marec 1994. konštatovanie, že 14 poslanec, vyplývať z to, že podpredseda vláda pán ivan Šimko abdikovať s svoj funkcia a táto abdikácia pán prezident slovenský republika prijať. podľa článok 77 ods. 2 Ústava slovenský republika, ak byť poslanec vymenovaný za člen vláda slovenský republika, jeho mandát poslanca počas výkon funkcia člen vláda zanikať, iba sa uplatňovať. chcieť pripomenúť, že podľa článok 117 Ústava slovenský republika vláda podať demisia vždy po ustanovujúci schôdza novozvolený národný rad, pričom vykonať svoj funkcia až do utvorenie nový vláda. vzhľad na ustanovenie článok 77 Ústava slovenský republika, podľa ktorý mandát poslanec vymenovaný za člen vláda slovenský republika zanikať, iba sa uplatňovať, chcieť oznámiť, že miesto táto poslanec mať byť prizvaný náhradník. vzhľad na to, že z poslanec- člen vláda len jeden pán poslanec abdikovať z funkcia člen vláda, byť môj povinnosť podľa zákon prijať toto spočívať a pozvať náhradník za ich mandát. rozhodnúť byť sa na dnešný schôdza pozvať náhradník, ktorý byť určený volebný komisia a ktorý predseda národný rada odovzdať osvedčenie, pozvať na táto schôdza, aj keď podľa§ 48 ods. 6 volebný zákon sa hovoriť, že predseda národný rada pozývať náhradník za tá minister, ktorý mandát spočív, po deň zloženie sľuba. až po deň zloženie sľuba táto poslanec začínať výkon spočívať, teda nie mandát. mandát získať voľba, ale spočívať výkon byť až moment zloženie sľuba. napriek to, že zákon hovoriť, že od deň po toto zloženie sľuba do 15 deň predseda národný rada povolý náhradník, rozhodnúť byť sa považovať táto lehot za poriadkový a pozvať toto náhradník na dnešný schôdza. prosiť preto Kancelária národný rad, aby vybaviť administratíva prijímanie náhradník a do tá doba vyhlasovať 20-minútový prestávka. /potlesk./ /pod prestávka ./	-
4	1	1	19941103			45	1	Gašparovič, Ivan	Ivan	Gašparovič	doc. JUDr., CSc.	Koalícia Hnutie za demokratické Slovensko a Roľnícka strana Slovenska	HZDS-RSS	19410327	0	slovenská	Bratislava	Bratislavský	NA	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=45&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Vážené panie poslankyne, vážení páni poslanci, budeme pokračovať v rokovaní dnešnej schôdze. Dnešným dňom, t.j. 3. novembra 1994, som vyhlásil nastúpenie náhradníkov. Osvedčenie o tom, že sa stali poslancami Národnej rady Slovenskej republiky, im odovzdám po zložení sľubu. Pristúpime k skladaniu sľubu poslancov - náhradníkov. Prosím pani Alžbetu Borzovú a pánov Jána Bielika, Vladimíra Miškovského, Jozefa Polačka, Martina Vrábľa, Borisa Zalu, Dušana Dorotina, Vladimíra Markoviča, Rudolfa Chmela, Jozefa Murgaša, Ivana Jaroša, Jána Krivčíka, Jozefa Habovštiaka a Antona Straku, aby predstúpili pred rečnícky pult a postupne do mojich rúk zložili ústavou predpísaný sľub slovom ""sľubujem"" a odovzdali podpísaný sľub poslanca Národnej rady Slovenskej republiky. Opäť prosím všetkých prítomných, aby počas skladania sľubu stáli. Prosím pán poslanca Sečánskeho, aby prečítal ústavné znenie sľubu poslanca Národnej rady Slovenskej republiky.	Vážený panie poslankynúť, vážený pán poslanec, byť pokračovať v rokovanie dnešný schôdza. Dnešný deň, t .ť. 3. november 1994, byť vyhlásiť nastúpenie náhradník. Osvedčenie o to, že sa stať poslanec národný rada slovenský republika, on odovzdať po zložený sľuba. Pristúpiť k skladanie sľuba poslanec- náhradník. prosiť pani Alžbeta Borzová a pán Ján Bielika, vladimír Miškovský, Jozef Polačka, martin Vrábľ, Boris Zala, Dušan Dorotin, vladimír Markovič, Rudolf Chmel, Jozef Murgaš, Ivan Jaroš, Ján Krivčík, Jozef Habovštiak a anton Strak, aby predstúpiť pred rečnícka pult a postupne do môj ruka zložiť ústav predpísaný sľub slovo"" sľubujem"" a odovzdať podpísaný sľub poslanec národný rad slovenský republika. opäť prosiť všetok prítomný, aby počas skladanie sľuba stáť. prosiť pán poslanec Sečánske, aby prečítať ústavný znenie sľuba poslanec národný rad slovenský republika.	-
5	1	1	19941103			448	0	Sečánsky, Milan	Milan	Sečánsky	JUDr.	Koalícia Hnutie za demokratické Slovensko a Roľnícka strana Slovenska	HZDS-RSS	19290120	0	slovenská	Topoľčany	Nitriansky	NA	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=448&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	""Sľubujem na svoju česť a svedomie vernosť Slovenskej republike. Svoje povinnosti budem plniť v záujme jej občanov. Budem dodržiavať ústavu a ostatné zákony a pracovať tak, aby sa uvádzali do života."" (Poslanci skladajú sľub.)	"" sľubovať na svoj česť a svedomie vernosť slovenský republika. svoj povinnosť byť plniť v záujem jej občan. byť dodržiavať ústav a ostatný zákon a pracovať tak, aby sa uvádzať do život.""  (poslanec skladať sľub.)	-
7	1	1	19941103			68	0	Keltošová, Oľga	Oľga	Keltošová	Mgr.	Koalícia Hnutie za demokratické Slovensko a Roľnícka strana Slovenska	HZDS-RSS	19430227	1	slovenská	Bratislava	Bratislavský	keltolga@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=68&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Vážený pán predseda, vážení členovia vlády, vážení páni poslanci, panie poslankyne, dávam návrh na zníženie počtu členov komisie poslancov na číslo 17. Zároveň navrhujem vypustiť pána Romana Vavríka. Žiadam, aby ste hlasovali.	Vážený pán predseda, vážený člen vláda, váženie pániť poslanec, panie poslankyne, dávať návrh na zníženie počet člen komisie poslanec na číslo 17. zároveň navrhovať vypustiť pán Roman Vavrík. Žiadať, aby byť hlasovať.	-
8	1	1	19941103			45	1	Gašparovič, Ivan	Ivan	Gašparovič	doc. JUDr., CSc.	Koalícia Hnutie za demokratické Slovensko a Roľnícka strana Slovenska	HZDS-RSS	19410327	0	slovenská	Bratislava	Bratislavský	NA	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=45&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Strašne slabo vás bolo počuť, pani poslankyňa, keby ste hovorili potom do mikrofónu. Rozumel som tak, že navrhujete, aby z tohto zoznamu bol vypustený pán poslanec Vavrík.	strašne slabo vy byť počuť, pani poslankyňa, keby byť hovoriť potom do mikrofón. rozumieť byť tak, že navrhujesť, aby z toto zoznam byť vypustený pán poslanec Vavrík.	-
9	1	1	19941103			68	0	Keltošová, Oľga	Oľga	Keltošová	Mgr.	Koalícia Hnutie za demokratické Slovensko a Roľnícka strana Slovenska	HZDS-RSS	19430227	1	slovenská	Bratislava	Bratislavský	keltolga@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=68&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Áno.	áno.	-
10	1	1	19941103			45	1	Gašparovič, Ivan	Ivan	Gašparovič	doc. JUDr., CSc.	Koalícia Hnutie za demokratické Slovensko a Roľnícka strana Slovenska	HZDS-RSS	19410327	0	slovenská	Bratislava	Bratislavský	NA	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=45&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Ak nemá nikto žiadne pripomienky, musím dať hlasovať. Pán poslanec Bajan má pripomienku.	ak mať nikto žiaden pripomienka, musieť dať hlasovať. pán poslanec Bajan mať pripomienka.	-
11	1	1	19941103			9	0	Bajan, Vladimír	Vladimír	Bajan	Ing.	Demokratická únia Slovenska	DUS	19600924	0	slovenská	Bratislava	Bratislavský	bajavlad@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=9&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Pán predsedajúci, na porade u vás sme sa jasne dohodli, že každý klub má zastúpenie dvoch členov. Doteraz to tak bolo, nevidím vôbec dôvod znižovať práve u jedného klubu o jedného člena. Teda poďme všetci o jedného člena nižšie, ale tento návrh nemá logiku.	pán predsedajúca, na porada u vy byť sa jasne dohodnúť, že každý klub mať zastúpenie dva člen. doteraz to tak byť, vidieť vôbec dôvod znižovať práve u jeden klub o jeden člen. teda ísť všetok o jeden člen nízko, ale tento návrh mať logika.	-
12	1	1	19941103			45	1	Gašparovič, Ivan	Ivan	Gašparovič	doc. JUDr., CSc.	Koalícia Hnutie za demokratické Slovensko a Roľnícka strana Slovenska	HZDS-RSS	19410327	0	slovenská	Bratislava	Bratislavský	NA	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=45&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Ďakujem. Keďže nikto nemá žiadnu pripomienku, musím dať hlasovať o prvom návrhu, ktorý tu zaznel. Ešte pani poslankyňa Keltošová.	ďakovať. keďže nikto mať žiadny pripomienka, musieť dať hlasovať o prvý návrh, ktorý tu zaznieť. ešte pani poslankyňať Keltošová.	-
13	1	1	19941103			68	0	Keltošová, Oľga	Oľga	Keltošová	Mgr.	Koalícia Hnutie za demokratické Slovensko a Roľnícka strana Slovenska	HZDS-RSS	19430227	1	slovenská	Bratislava	Bratislavský	keltolga@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=68&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Pán predseda, chcem len pripomenúť, že na porade predsedov politických strán bol dohodnutý počet 17.	pán predseda, chcieť len pripomenúť, že na porada predsed politický strana byť dohodnutý počet 17.	-
15	1	1	19941103			92	0	Mikloško, František	František	Mikloško	RNDr.	Kresťanskodemokratické hnutie	KDH	19470602	0	slovenská	Bratislava	Bratislavský	frantisek_miklosko@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=92&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Pán predseda, za poslancov KDH - náhradníkov, by som vám rád povedal, že nemajú osvedčenia o zvolení za poslanca. Povedali ste, že po zvolení sľubu ho dostanú. Len upozorňujem na tento technický detail.	pán predseda, za poslanec kdh- náhradník, by byť vy rád povedať, že mať osvedčenie o zvolenie za poslanec. povedať byť, že po zvolený sľuba on dostať. len upozorňovať na tento technický detail.	-
16	1	1	19941103			45	1	Gašparovič, Ivan	Ivan	Gašparovič	doc. JUDr., CSc.	Koalícia Hnutie za demokratické Slovensko a Roľnícka strana Slovenska	HZDS-RSS	19410327	0	slovenská	Bratislava	Bratislavský	NA	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=45&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Majú, tam ho dostanú.	mať, tam on dostať.	-
17	1	1	19941103			92	0	Mikloško, František	František	Mikloško	RNDr.	Kresťanskodemokratické hnutie	KDH	19470602	0	slovenská	Bratislava	Bratislavský	frantisek_miklosko@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=92&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Beriem pripomienku späť.	brať pripomienku späť.	-
18	1	1	19941103			45	1	Gašparovič, Ivan	Ivan	Gašparovič	doc. JUDr., CSc.	Koalícia Hnutie za demokratické Slovensko a Roľnícka strana Slovenska	HZDS-RSS	19410327	0	slovenská	Bratislava	Bratislavský	NA	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=45&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Ďalej sa hlási pán poslanec Ľupták Ján.	ďalej sa hlási pán poslanec Ľupták ján.	-
19	1	1	19941103			417	0	Ľupták, Ján	Ján	Ľupták	NA	Združenie robotníkov Slovenska	ZRS	19460224	0	slovenská	NA	NA	NA	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=417&CisObdobia=1	0	https://www.nrsr.sk/dl/Browser/Document?documentId=65799	Pán predseda, všetci poslanci nemajú osvedčenia, niektorí ho majú na ubytovni. Neviem, či teraz postačí identifikačná karta.	pán predseda, všetok poslanec mať osvedčenie, niektorý on mať na ubytovňa. vedieť, či teraz postačiť identifikačný karta.	-
